"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","003","1003","45203","1","39.169533","-76.627933","WGS84","Ethylbenzene","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","1.588","0.950213",".","0.4","","","5.6","2000-10-27 00:00","3.84","2000-01-01 00:00","3.6","2000-02-24 00:00","3.36","2000-03-01 00:00","1.36","2.08","2.88","3.6","3.84","5.6","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","45806","1","39.169533","-76.627933","WGS84","1,3-Dichlorobenzene","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.003","0.013187",".","0","","","0.06","2000-05-24 00:00","0.06","2000-05-30 00:00","0.06","2000-12-20 00:00","0","2000-01-01 00:00","0","0","0","0.06","0.06","0.06","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68107","1","39.169533","-76.627933","WGS84","Sample Max Baro Pressure","24 HOUR","","2000","Millimeters (mercury)","No Events","105","100",".",".","57","61","0","Certification not required","0","0","","771.504762","9.23218",".","752","","","793","2000-02-18 00:00","793","2000-02-21 00:00","792","2000-02-09 00:00","791","2000-02-06 00:00","769","776","786","789","792","793","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68108","1","39.169533","-76.627933","WGS84","Average Ambient Pressure","24 HOUR","","2000","Millimeters (mercury)","No Events","105","100",".",".","57","61","0","Certification not required","0","0","","765.419048","8.185095",".","744","","","786","2000-02-21 00:00","784","2000-01-22 00:00","783","2000-02-06 00:00","783","2000-02-12 00:00","764","770","778","782","783","784","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68109","1","39.169533","-76.627933","WGS84","Elapsed Sample Time","24 HOUR","","2000","Minutes","No Events","105","100",".",".","57","61","0","Certification not required","0","0","","1389.87619","9.62738",".","1385","","","1438","2000-10-06 00:00","1438","2000-10-09 00:00","1438","2000-11-17 00:00","1438","2000-11-20 00:00","1388","1388","1388","1388","1438","1438","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","81102","1","39.169533","-76.627933","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2000","Micrograms/cubic meter (25 C)","No Events","60","98","0","0","60","61","0","Certified","0","0","","24.9","10.505366","24.9732142857142","8","","","55","2000-11-08 00:00","48","2000-01-01 00:00","48","2000-06-11 00:00","44","2000-05-06 00:00","23","32","42","48","48","55","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43803","1","39.169533","-76.627933","WGS84","Chloroform","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.033833","0.014854",".","0.02","","","0.08","2000-08-22 00:00","0.07","2000-08-16 00:00","0.07","2000-10-27 00:00","0.06","2000-03-01 00:00","0.03","0.04","0.06","0.07","0.07","0.08","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43813","1","39.169533","-76.627933","WGS84","1,1-Dichloroethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.001333","0.005031",".","0","","","0.02","2000-05-24 00:00","0.02","2000-05-30 00:00","0.02","2000-06-05 00:00","0.02","2000-12-20 00:00","0","0","0","0.02","0.02","0.02","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43818","1","39.169533","-76.627933","WGS84","1,1,2,2-Tetrachloroethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.001333","0.005031",".","0","","","0.02","2000-05-24 00:00","0.02","2000-05-30 00:00","0.02","2000-12-14 00:00","0.02","2000-12-20 00:00","0","0","0","0.02","0.02","0.02","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43819","1","39.169533","-76.627933","WGS84","Bromomethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.020333","0.03498",".","0.01","","","0.23","2000-07-23 00:00","0.17","2000-08-10 00:00","0.06","2000-02-18 00:00","0.03","2000-05-24 00:00","0.01","0.02","0.02","0.06","0.17","0.23","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43820","1","39.169533","-76.627933","WGS84","1,1,2-Trichloroethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.001","0.004396",".","0","","","0.02","2000-05-24 00:00","0.02","2000-05-30 00:00","0.02","2000-12-20 00:00","0","2000-01-01 00:00","0","0","0","0.02","0.02","0.02","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43824","1","39.169533","-76.627933","WGS84","Trichloroethylene","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.056","0.02492",".","0.02","","","0.1","2000-06-17 00:00","0.1","2000-06-29 00:00","0.1","2000-07-17 00:00","0.1","2000-08-04 00:00","0.06","0.08","0.1","0.1","0.1","0.1","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43830","1","39.169533","-76.627933","WGS84","trans-1,3-Dichloropropene","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.0015","0.006594",".","0","","","0.03","2000-05-24 00:00","0.03","2000-05-30 00:00","0.03","2000-12-14 00:00","0","2000-01-01 00:00","0","0","0","0.03","0.03","0.03","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","43831","1","39.169533","-76.627933","WGS84","cis-1,3-Dichloropropene","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.001","0.005431",".","0","","","0.03","2000-05-30 00:00","0.03","2000-12-14 00:00","0","2000-01-01 00:00","0","2000-01-07 00:00","0","0","0","0","0.03","0.03","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
