"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","003","1003","81102","2","39.169533","-76.627933","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2012","Micrograms/cubic meter (25 C)","No Events","54","91","0","0","48","53","0","Certified","0","0","","13.592593","5.741338","13.6428571428571","5","","","29","2012-10-24 00:00","28","2012-07-08 00:00","26","2012-01-26 00:00","25","2012-06-20 00:00","12","17","22","26","28","29","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68108","1","39.169533","-76.627933","WGS84","Average Ambient Pressure","24 HOUR","","2012","Millimeters (mercury)","No Events","119","33",".",".","119","366","0","Certification not required","0","0","","761.109244","5.187648",".","748","","","775","2012-11-17 00:00","773","2012-03-10 00:00","773","2012-11-14 00:00","772","2012-01-16 00:00","761","764","768","771","773","773","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","81102","1","39.169533","-76.627933","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2012","Micrograms/cubic meter (25 C)","No Events","56","90","0","0","55","61","0","Certified","0","0","","12.714286","5.56193","12.8028846153846","0","","","29","2012-10-24 00:00","26","2012-07-08 00:00","25","2012-06-20 00:00","22","2012-03-16 00:00","12","17","20","25","26","29","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","88101","1","39.169533","-76.627933","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2012","Micrograms/cubic meter (LC)","No Events","119","98","0","0","119","122","0","Certified","0","0","","10.168067","5.225782","10.1791666666666","2.8","","","30.1","2012-12-02 00:00","23.4","2012-07-08 00:00","23","2012-06-20 00:00","21.7","2012-06-29 00:00","9.2","13.4","17.1","20.8","23","23.4","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","88101","1","39.169533","-76.627933","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2012","Micrograms/cubic meter (LC)","No Events","119","98",".",".","119","122","0","Certified","0","0","","10.168067","5.225782","10.1791666666666","2.8","","","30.1","2012-12-02 00:00","23.4","2012-07-08 00:00","23","2012-06-20 00:00","21.7","2012-06-29 00:00","9.2","13.4","17.1","20.8","23","23.4","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68105","1","39.169533","-76.627933","WGS84","Average Ambient Temperature","24 HOUR","","2012","Degrees Centigrade","No Events","119","33",".",".","119","366","0","Certification not required","0","0","","16.77479","9.053927",".","-2.6","","","33.7","2012-06-29 00:00","33.5","2012-07-05 00:00","33.3","2012-07-17 00:00","32.8","2012-07-08 00:00","17.5","24","28.3","30.4","33.3","33.5","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
