"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0040","68104","1","39.297733","-76.604603","WGS84","Ambient Max Temperature","24 HOUR","","2003","Degrees Centigrade","No Events","351","100",".",".","61","61","0","Certification not required","0","0","","19.418519","10.854414",".","-5","","","45.3","2003-09-18 00:00","42.3","2003-04-26 00:00","41.9","2003-05-09 00:00","40.3","2003-04-25 00:00","19.7","28.4","32.8","35.1","36.7","40.3","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45202","1","39.297733","-76.604603","WGS84","Toluene","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","6.041724","3.670578",".","1.12","","","19.04","2003-12-29 00:00","15.19","2003-11-11 00:00","14.63","2003-01-09 00:00","13.02","2003-11-23 00:00","5.53","7.07","10.78","14.63","15.19","19.04","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45806","1","39.297733","-76.604603","WGS84","1,3-Dichlorobenzene","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.044483","0.026502",".","0","","","0.06","2003-01-09 00:00","0.06","2003-03-04 00:00","0.06","2003-03-10 00:00","0.06","2003-03-16 00:00","0.06","0.06","0.06","0.06","0.06","0.06","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88502","3","39.297733","-76.604603","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2003","Micrograms/cubic meter (LC)","No Events","6844","78",".",".","285","365","0","Certification not required","0","0","","13.71524","9.493084",".","0.1","","","75.9","2003-06-26 10:00","75.5","2003-06-26 12:00","72.9","2003-06-26 11:00","72.5","2003-01-28 11:00","11.4","18","26.1","31.8","41","45.4","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88502","3","39.297733","-76.604603","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2003","Micrograms/cubic meter (LC)","No Events","285","78",".",".","285","365","0","Certification not required","0","0","","13.681754","7.785637",".","2","","","60.9","2003-06-26 00:00","38.6","2003-06-25 00:00","37.8","2003-10-10 00:00","37.4","2003-02-21 00:00","11.6","17.6","23.7","27.7","35.8","37.8","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43207","1","39.297733","-76.604603","WGS84","Freon 113","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.155862","0.014392",".","0.12","","","0.18","2003-01-03 00:00","0.18","2003-04-15 00:00","0.18","2003-07-14 00:00","0.18","2003-09-18 00:00","0.16","0.16","0.18","0.18","0.18","0.18","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43218","1","39.297733","-76.604603","WGS84","1,3-Butadiene","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.742069","0.506473",".","0.08","","","2.52","2003-12-29 00:00","2.2","2003-01-09 00:00","1.72","2003-11-23 00:00","1.68","2003-02-20 00:00","0.68","0.88","1.52","1.72","2.2","2.52","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43801","1","39.297733","-76.604603","WGS84","Chloromethane","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.539655","0.052581",".","0.44","","","0.68","2003-05-27 00:00","0.67","2003-07-08 00:00","0.63","2003-06-02 00:00","0.62","2003-01-03 00:00","0.54","0.57","0.6","0.63","0.67","0.68","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43802","1","39.297733","-76.604603","WGS84","Dichloromethane","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.217759","0.224914",".","0.05","","","1.54","2003-06-08 00:00","0.54","2003-08-25 00:00","0.51","2003-01-09 00:00","0.48","2003-08-07 00:00","0.13","0.29","0.47","0.51","0.54","1.54","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43803","1","39.297733","-76.604603","WGS84","Chloroform","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.037414","0.017628",".","0.01","","","0.08","2003-08-07 00:00","0.08","2003-12-29 00:00","0.07","2003-07-20 00:00","0.07","2003-08-19 00:00","0.03","0.05","0.07","0.07","0.08","0.08","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43804","1","39.297733","-76.604603","WGS84","Carbon tetrachloride","24 HOUR","","2003","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.1","0",".","0.1","","","0.1","2003-01-03 00:00","0.1","2003-01-09 00:00","0.1","2003-01-15 00:00","0.1","2003-01-21 00:00","0.1","0.1","0.1","0.1","0.1","0.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
