"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0040","42101","1","39.297733","-76.604603","WGS84","Carbon monoxide","1 HOUR","CO 1-hour 1971","1992","Parts per million","No Events","8582","98","0","0","362","366","0","Certified","0","0","","0.932836","0.659002",".","0","","","7.7","1992-01-13 09:00","7.2","1992-01-13 08:00","7.1","1992-12-22 18:00","6.6","1992-01-30 09:00","0.8","1.2","1.7","2.1","2.8","3.4","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42101","1","39.297733","-76.604603","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","1992","Parts per million","No Events","8599","98","0","0","362","366","0","Certified","0","0","","0.939423","0.535547",".","0.1","","","5.1","1992-01-13 13:00","5","1992-01-13 12:00","5","1992-01-13 14:00","4.9","1992-11-04 01:00","0.8","1.1","1.6","1.9","2.4","3","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42602","1","39.297733","-76.604603","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","1992","Parts per billion","No Events","8199","93",".",".","342","366","0","Certified","0","0","","30.600805","12.668568",".","0","","","93","1992-03-30 18:00","90","1992-05-23 22:00","89","1992-01-30 09:00","89","1992-05-23 21:00","29","38","47","53","60","66","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42602","1","39.297733","-76.604603","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","1992","Parts per billion","No Events","8199","93","0",".","342","366","0","Certified","0","0","","48.128655","13.670648",".","18","","","90","1992-05-23 22:00","89","1992-01-30 09:00","87","1992-04-15 06:00","87","1992-05-22 18:00","47","57","66","74","82","87","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42603","1","39.297733","-76.604603","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","1992","Parts per billion","No Events","7934","90",".",".","330","366","0","Certification not required","0","0","","77.654903","66.338192",".","0","","","685","1992-12-22 18:00","682","1992-01-30 09:00","654","1992-12-22 21:00","653","1992-01-13 08:00","59","99","154","199","266","335","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43801","1","39.297733","-76.604603","WGS84","Chloromethane","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.589655","0.178748",".","0.14","","","1.35","1992-05-24 00:00","1","1992-04-06 00:00","0.95","1992-03-31 00:00","0.9","1992-11-26 00:00","0.59","0.64","0.71","0.95","1","1.35","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43207","1","39.297733","-76.604603","WGS84","Freon 113","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","2.33931","1.365751",".","0.86","","","7.78","1992-05-24 00:00","6.62","1992-05-30 00:00","5.82","1992-07-23 00:00","3.98","1992-06-23 00:00","2.22","2.92","3.52","5.82","6.62","7.78","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43208","1","39.297733","-76.604603","WGS84","Freon 114","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.026207","0.019179",".","0","","","0.06","1992-05-24 00:00","0.04","1992-04-30 00:00","0.04","1992-05-12 00:00","0.04","1992-05-18 00:00","0.04","0.04","0.04","0.04","0.04","0.06","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43218","1","39.297733","-76.604603","WGS84","1,3-Butadiene","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","1.024138","0.373279",".","0","","","2.04","1992-09-15 00:00","1.76","1992-06-05 00:00","1.72","1992-10-15 00:00","1.72","1992-11-02 00:00","1","1.28","1.48","1.72","1.76","2.04","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43802","1","39.297733","-76.604603","WGS84","Dichloromethane","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.493103","0.880002",".","0.1","","","6.75","1992-10-15 00:00","1.73","1992-09-15 00:00","1.03","1992-08-04 00:00","0.94","1992-09-09 00:00","0.31","0.46","0.79","1.03","1.73","6.75","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43803","1","39.297733","-76.604603","WGS84","Chloroform","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.056379","0.036016",".","0","","","0.16","1992-05-12 00:00","0.15","1992-08-22 00:00","0.14","1992-05-06 00:00","0.14","1992-07-29 00:00","0.05","0.06","0.12","0.14","0.15","0.16","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43804","1","39.297733","-76.604603","WGS84","Carbon tetrachloride","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0.113793","0.043723",".","0","","","0.2","1992-01-01 00:00","0.2","1992-02-12 00:00","0.2","1992-03-13 00:00","0.2","1992-04-06 00:00","0.1","0.1","0.2","0.2","0.2","0.2","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43811","1","39.297733","-76.604603","WGS84","Trichlorofluoromethane","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","10.053448","6.42351",".","3.3","","","39.3","1992-05-24 00:00","33.4","1992-05-30 00:00","22","1992-07-23 00:00","16.1","1992-06-23 00:00","10.1","12.1","14.9","22","33.4","39.3","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43812","1","39.297733","-76.604603","WGS84","Chloroethane","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0","0",".","0","","","0","1992-01-01 00:00","0","1992-01-07 00:00","0","1992-01-13 00:00","0","1992-01-19 00:00","0","0","0","0","0","0","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43813","1","39.297733","-76.604603","WGS84","1,1-Dichloroethane","24 HOUR","","1992","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","0","0","","0","0",".","0","","","0","1992-01-01 00:00","0","1992-01-07 00:00","0","1992-01-13 00:00","0","1992-01-19 00:00","0","0","0","0","0","0","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
