"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0035","68104","2","39.232778","-76.579722","WGS84","Ambient Max Temperature","24 HOUR","","2006","Degrees Centigrade","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","19.9","11.102319",".","3.5","","","38.6","2006-08-03 00:00","36.3","2006-07-04 00:00","35.7","2006-06-22 00:00","35.4","2006-07-16 00:00","19","31.7","35.7","36.3","38.6","38.6","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68108","2","39.232778","-76.579722","WGS84","Average Ambient Pressure","24 HOUR","","2006","Millimeters (mercury)","No Events","39","64",".",".","39","61","0","Certification not required","0","0","","761.692308","5.666865",".","750","","","773","2006-04-29 00:00","773","2006-12-31 00:00","771","2006-11-25 00:00","769","2006-03-30 00:00","762","766","769","773","773","773","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68101","1","39.232778","-76.579722","WGS84","Sample Flow Rate- CV","24 HOUR","","2006","Percent","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","0.257143","0.116295",".","0.1","","","0.6","2006-06-05 00:00","0.6","2006-06-21 00:00","0.6","2006-06-23 00:00","0.6","2006-06-25 00:00","0.2","0.3","0.4","0.5","0.5","0.6","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68101","2","39.232778","-76.579722","WGS84","Sample Flow Rate- CV","24 HOUR","","2006","Percent","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","0.353571","0.33608",".","0.1","","","1.2","2006-03-18 00:00","1.1","2006-04-29 00:00","1","2006-03-30 00:00","0.9","2006-03-24 00:00","0.2","0.4","1","1.1","1.2","1.2","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68102","1","39.232778","-76.579722","WGS84","Sample Volume","24 HOUR","","2006","Cubic meter","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","23.908571","0.230573",".","22.5","","","24","2006-01-01 00:00","24","2006-01-02 00:00","24","2006-01-03 00:00","24","2006-01-05 00:00","24","24","24","24","24","24","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68102","2","39.232778","-76.579722","WGS84","Sample Volume","24 HOUR","","2006","Cubic meter","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","23.971429","0.104906",".","23.6","","","24","2006-01-05 00:00","24","2006-01-11 00:00","24","2006-01-17 00:00","24","2006-01-23 00:00","24","24","24","24","24","24","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68103","1","39.232778","-76.579722","WGS84","Ambient Min Temperature","24 HOUR","","2006","Degrees Centigrade","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","13.174694","9.314668",".","-5.9","","","29","2006-08-02 00:00","28.6","2006-08-01 00:00","28.4","2006-06-26 00:00","28","2006-07-31 00:00","14.1","20.9","24.8","26.2","27.3","28.4","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68103","2","39.232778","-76.579722","WGS84","Ambient Min Temperature","24 HOUR","","2006","Degrees Centigrade","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","9.678571","9.796574",".","-2.9","","","28.3","2006-08-03 00:00","25.1","2006-07-16 00:00","24.3","2006-08-15 00:00","23.3","2006-07-04 00:00","7.8","19.4","24.3","25.1","28.3","28.3","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68104","1","39.232778","-76.579722","WGS84","Ambient Max Temperature","24 HOUR","","2006","Degrees Centigrade","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","24.093469","9.822213",".","2.7","","","40.4","2006-06-27 00:00","40.4","2006-07-17 00:00","40.2","2006-08-01 00:00","40.2","2006-08-02 00:00","25.9","32","36","37.3","39.6","40.2","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68105","1","39.232778","-76.579722","WGS84","Average Ambient Temperature","24 HOUR","","2006","Degrees Centigrade","No Events","326","100",".",".","61","61","0","Certification not required","0","0","","16.553681","9.007312",".","-1.9","","","34.5","2006-08-02 00:00","34.1","2006-08-01 00:00","32.5","2006-07-17 00:00","31.9","2006-07-31 00:00","16.7","24.4","28.6","29.6","31.5","31.9","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68105","2","39.232778","-76.579722","WGS84","Average Ambient Temperature","24 HOUR","","2006","Degrees Centigrade","No Events","39","64",".",".","39","61","0","Certification not required","0","0","","13.605128","9.249067",".","1.4","","","33.3","2006-08-03 00:00","29.8","2006-07-16 00:00","28.4","2006-07-04 00:00","28.3","2006-06-22 00:00","12.7","19.3","28.3","29.8","33.3","33.3","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68106","1","39.232778","-76.579722","WGS84","Sample Min Baro Pressure","24 HOUR","","2006","Millimeters (mercury)","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","753.942857","4.927008",".","738","","","772","2006-01-22 00:00","767","2006-01-10 00:00","766","2006-01-19 00:00","766","2006-04-29 00:00","754","757","760","763","765","766","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68106","2","39.232778","-76.579722","WGS84","Sample Min Baro Pressure","24 HOUR","","2006","Millimeters (mercury)","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","755.892857","5.971161",".","742","","","769","2006-04-29 00:00","763","2006-03-30 00:00","761","2006-02-10 00:00","760","2006-01-23 00:00","758","759","761","763","769","769","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68107","1","39.232778","-76.579722","WGS84","Sample Max Baro Pressure","24 HOUR","","2006","Millimeters (mercury)","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","765.946939","5.710326",".","753","","","783","2006-01-22 00:00","780","2006-01-26 00:00","780","2006-04-12 00:00","780","2006-04-29 00:00","767","769","773","776","778","780","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68107","2","39.232778","-76.579722","WGS84","Sample Max Baro Pressure","24 HOUR","","2006","Millimeters (mercury)","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","769.571429","9.303239",".","757","","","787","2006-04-29 00:00","786","2006-02-28 00:00","785","2006-01-29 00:00","783","2006-02-22 00:00","769","778","785","786","787","787","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68108","1","39.232778","-76.579722","WGS84","Average Ambient Pressure","24 HOUR","","2006","Millimeters (mercury)","No Events","326","100",".",".","61","61","0","Certification not required","0","0","","760.638037","6.120656",".","745","","","779","2006-11-29 00:00","778","2006-01-22 00:00","777","2006-10-07 00:00","775","2006-11-04 00:00","760","765","769","772","774","775","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68109","1","39.232778","-76.579722","WGS84","Elapsed Sample Time","24 HOUR","","2006","Minutes","No Events","245","100",".",".","45","61","0","Certification not required","0","0","","1388.579592","5.136537",".","1380","","","1440","2006-02-25 00:00","1440","2006-09-16 00:00","1389","2006-01-03 00:00","1389","2006-01-05 00:00","1389","1389","1389","1389","1389","1389","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68109","2","39.232778","-76.579722","WGS84","Elapsed Sample Time","24 HOUR","","2006","Minutes","No Events","28","46",".",".","28","61","0","Certification not required","0","0","","1436.25","13.769599",".","1387","","","1440","2006-01-05 00:00","1440","2006-01-11 00:00","1440","2006-01-17 00:00","1440","2006-01-23 00:00","1440","1440","1440","1440","1440","1440","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","81102","1","39.232778","-76.579722","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2006","Micrograms/cubic meter (25 C)","No Events","57","93","0","0","57","61","0","Uncertified (past due)","0","0","","25.017544","11.970934","25.1875","4","","","64","2006-12-07 00:00","53","2006-02-16 00:00","50","2006-08-03 00:00","48","2006-09-08 00:00","23","33","39","50","53","64","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","81102","2","39.232778","-76.579722","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2006","Micrograms/cubic meter (25 C)","No Events","57","100","0","0","31","31","0","Uncertified (past due)","0","0","","25.491228","10.79372","26.0617559523809","4","","","53","2006-08-03 00:00","48","2006-09-08 00:00","44","2006-03-30 00:00","42","2006-07-04 00:00","24","34","40","44","48","53","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","88101","1","39.232778","-76.579722","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2006","Micrograms/cubic meter (LC)","No Events","326","89","9","9","326","365","0","Uncertified (past due)","0","0","","14.737117","8.49444","14.7454955080372","2.2","","","47.4","2006-08-02 00:00","42.8","2006-02-15 00:00","41.9","2006-07-11 00:00","41.6","2006-02-16 00:00","12.6","20.1","26","30","37.3","41.6","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","88101","1","39.232778","-76.579722","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2006","Micrograms/cubic meter (LC)","No Events","326","89",".",".","326","365","0","Uncertified (past due)","0","0","","14.737117","8.49444","14.7454955080372","2.2","","","47.4","2006-08-02 00:00","42.8","2006-02-15 00:00","41.9","2006-07-11 00:00","41.6","2006-02-16 00:00","12.6","20.1","26","30","37.3","41.6","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","88101","2","39.232778","-76.579722","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2006","Micrograms/cubic meter (LC)","No Events","39","87","2","2","27","31","0","Uncertified (past due)","0","0","","16.7","9.139475","17.0277705627705","5.4","","","43.2","2006-02-16 00:00","36","2006-08-03 00:00","31.8","2006-01-11 00:00","30.3","2006-07-10 00:00","18.3","28.4","31.8","36","43.2","43.2","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","88101","2","39.232778","-76.579722","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2006","Micrograms/cubic meter (LC)","No Events","39","87",".",".","27","31","0","Uncertified (past due)","0","0","","16.7","9.139475","17.0277705627705","5.4","","","43.2","2006-02-16 00:00","36","2006-08-03 00:00","31.8","2006-01-11 00:00","30.3","2006-07-10 00:00","18.3","28.4","31.8","36","43.2","43.2","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
